Time,Spp,Colony,Core,Notes,Treatment,Replicate,Date,Picture,AOI,File ,variable.fragment
0,S.sid,23,23-54,OK,Control ,R1,2017-09-01,11,5,11.csv,Y.II.5
0,S.sid,23,23-55,OK,N ,R1,2017-09-01,11,6,11.csv,Y.II.6
0,S.sid,23,23-56,OK,NP,R1,2017-09-01,11,7,11.csv,Y.II.7
0,S.sid,23,23-57,OK,Control ,R2,2017-09-01,11,8,11.csv,Y.II.8
0,S.sid,23,23-58,OK,N ,R2,2017-09-01,11,9,11.csv,Y.II.9
0,S.sid,23,23-59,OK,NP,R2,2017-09-01,11,10,11.csv,Y.II.10
0,S.sid,23,23-60,OK,Control ,R1,2017-09-01,11,11,11.csv,Y.II.11
0,S.sid,23,23-61,OK,N ,R1,2017-09-01,11,12,11.csv,Y.II.12
0,S.sid,23,23-62,OK,NP,R1,2017-09-01,11,13,11.csv,Y.II.13
0,S.sid,23,23-63,OK,Control ,R2,2017-09-01,11,14,11.csv,Y.II.14
0,S.sid,23,23-64,Meh,Control ,R2,2017-09-01,11,15,11.csv,Y.II.15
0,S.sid,23,23-65,OK,N ,R2,2017-09-01,11,16,11.csv,Y.II.16
0,S.sid,23,23-66,OK,NP,R2,2017-09-01,11,17,11.csv,Y.II.17
0,S.sid,23,23-67,OK,Control ,R1,2017-09-01,11,18,11.csv,Y.II.18
0,S.sid,23,23-68,OK,N ,R1,2017-09-01,11,19,11.csv,Y.II.19
0,S.sid,23,23-69,OK,NP,R1,2017-09-01,11,20,11.csv,Y.II.20
0,S.sid,23,23-70,OK,Control ,R2,2017-09-01,11,21,11.csv,Y.II.21
0,S.sid,23,23-71,OK,N ,R2,2017-09-01,12,1,12.csv,Y.II.1
0,S.sid,23,23-72,OK,NP,R2,2017-09-01,12,2,12.csv,Y.II.2
0,S.sid,23,23-73,OK,Control ,R1,2017-09-01,12,3,12.csv,Y.II.3
0,S.sid,23,23-74,OK,N ,R1,2017-09-01,12,4,12.csv,Y.II.4
0,S.sid,23,23-75,OK,NP,R1,2017-09-01,12,5,12.csv,Y.II.5
0,S.sid,23,23-76,OK,Control ,R2,2017-09-01,12,6,12.csv,Y.II.6
0,S.sid,23,23-77,OK,N ,R2,2017-09-01,12,7,12.csv,Y.II.7
0,S.sid,23,23-78,OK,NP,R2,2017-09-01,12,8,12.csv,Y.II.8
0,S.sid,23,23-79,OK,Control ,R1,2017-09-01,12,9,12.csv,Y.II.9
